ID	2006 list	2008 list	2010 list	2012 list	2018 list	Book Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work Wikidata ID	Author Wikidata ID	GND Arealabel	GND Areacode	P495	P19	Geonames ID	Latitude	Longitude
1197	2006	2008	2010	2012	2018	The Human Stain	Roth, Philip	1) core list	NaN	518	American	2000s	NaN	Q2258908	Q187019	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
1198	2006	NaN	NaN	NaN	NaN	How the Dead Live	Self, Will	2) Deleted 2008	NaN	1044	English	2000s	NaN	Q5918324	Q261054	NaN	NaN	United Kingdom	NaN	2635167	54.75844	-2.69531
1199	2006	NaN	NaN	NaN	NaN	City of God	Doctorow, E.L.	2) Deleted 2008	NaN	1169	American	2000s	NaN	Q42184336	Q335232	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
1200	2006	2008	2010	2012	2018	White Teeth	Smith, Zadie	1) core list	NaN	749	English	2000s	NaN	Q866980	Q140052	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
1201	2006	2008	2010	2012	2018	Under the Skin	Faber, Michel	1) core list	NaN	786	English	2000s	NaN	Q3965250	Q983249	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
1202	2006	2008	NaN	NaN	NaN	The Heart of Redness	Mda, Zakes	4) Deleted 2010	NaN	964	S. Africa	2000s	NaN	NaN	Q144653	South Africa	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XC-ZA	NaN	NaN	953987	-29.0	24.0
1203	2006	2008	2010	2012	2018	Spring Flowers, Spring Frost	Kadare, Ismail	1) core list	NaN	1238	Albanian	2000s	NaN	Q10416227	Q179695	NaN	NaN	Albania	NaN	783754	41.0	20.0
1204	2006	2008	2010	2012	2018	The Devil and Miss Prym	Coelho, Paulo	1) core list	NaN	913	Brazilian	2000s	NaN	Q1997592	Q12881	NaN	NaN	Brazil	NaN	3469034	-10.0	-55.0
1205	2006	NaN	NaN	NaN	NaN	An Obedient Father	Sharma, Akhil	2) Deleted 2008	NaN	1229	Indian	2000s	NaN	Q4750169	Q4700740	NaN	NaN	NaN	Delhi	NaN	NaN	NaN
1206	NaN	2008	NaN	NaN	NaN	The Amazing Adventures of Kavalier & Clay	Chabon, Michael	4) Deleted 2010	NaN	147	American	2000s	NaN	Q2705230	Q313466	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
1207	2006	2008	2010	2012	2018	The Feast of the Goat	Vargas Llosa, Mario	1) core list	NaN	54	Peruvian	2000s	NaN	Q650314	Q39803	Peru	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-PE	NaN	NaN	3932488	-10.0	-75.25
1208	NaN	2008	2010	2012	2018	I'm Not Scared	Ammaniti, Niccolo	3) Added 2008	Io non ho paura	534	Italian	2000s	NaN	Q924771	Q251286	NaN	NaN	Italy	NaN	3175395	42.83333	12.83333
1209	NaN	2008	2010	2012	NaN	Soldiers of Salamis	Cercas, Javier	3) Added 2008	NaN	646	NaN	2000s	NaN	Q1971450	Q381920	Spain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-ES	NaN	NaN	2510769	40.0	-4.0
1210	2006	2008	2010	2012	2018	Atonement	McEwan, Ian	1) core list	NaN	436	English	2000s	NaN	Q306619	Q190379	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
1211	2006	NaN	NaN	NaN	NaN	Schooling	McGowan, Heather	2) Deleted 2008	NaN	1289	NaN	2000s	NaN	NaN	Q1563351	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1212	2006	2008	2010	2012	2018	Austerlitz	Sebald, W.G.	1) core list	NaN	256	German	2000s	NaN	Q473389	Q76952	Germany	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-DE	NaN	NaN	2921044	51.5	10.5
1213	2006	NaN	NaN	NaN	NaN	Gabriel’s Gift	Kureishi, Hanif	2) Deleted 2008	NaN	1232	NaN	2000s	NaN	Q3793854	Q325936	NaN	NaN	NaN	London	NaN	NaN	NaN
1214	2006	NaN	NaN	NaN	NaN	The Book of Illusions	Auster, Paul	2) Deleted 2008	NaN	517	American	2000s	NaN	Q581485	Q214642	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
1215	2006	2008	2010	2012	2018	Life of Pi	Martel, Yann	1) core list	NaN	470	Spanish	2000s	NaN	Q374204	Q13914	Canada	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-CA	NaN	NaN	6251999	60.10867	-113.64258
1216	2006	NaN	NaN	NaN	NaN	Choke	Palahniuk, Chuck	2) Deleted 2008	NaN	783	American	2000s	NaN	Q2466091	Q268181	NaN	NaN	United States of America	NaN	6252001	39.76	-98.5
1217	2006	NaN	NaN	NaN	NaN	At Swim, Two Boys	O'Neill, Jamie	2) Deleted 2008	NaN	283	Irish	2000s	NaN	Q3024963	Q937815	NaN	NaN	NaN	Dún Laoghaire	NaN	NaN	NaN
1218	2006	NaN	NaN	NaN	NaN	Fury	Rushdie, Salman	2) Deleted 2008	NaN	1199	Indian	2000s	NaN	Q686894	Q44306	NaN	NaN	United Kingdom	NaN	2635167	54.75844	-2.69531
1219	2006	NaN	NaN	NaN	NaN	The Body Artist	DeLillo, Don	2) Deleted 2008	NaN	1207	American	2000s	NaN	Q7718980	Q310048	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
1220	2006	NaN	NaN	NaN	NaN	Don’t Move	Mazzantini, Margaret	2) Deleted 2008	Non ti muovere	776	Irish/Italian	2000s	NaN	Q3878170	Q267868	NaN	NaN	Italy	NaN	3175395	42.83333	12.83333
