ID	2006 list	2008 list	2010 list	2012 list	2018 list	r/tbr/w	Book Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work Wikidata ID	Author Wikidata ID	Work QRank	Author QRank	Work Sitelinks	Author Sitelinks
355	2006	2008	2010	2012	2018		Zeno’s Conscience	Svevo, Italo	1) core list	La coscienza di Zeno	653	Italian	1900s		Q2630581	Q216478	245703	266473	14	51
356	2006	2008	2010	2012	2018		A Passage to India	Forster, E.M.	1) core list		861	English	1900s		Q622303	Q189119	250196	511769	21	62
357	2006	2008	2010	2012	2018		We	Zamyatin, Yevgeny	1) core list		322	Russian	1900s		Q83799	Q204868	597888	299358	37	59
358	2006	2008	2010	2012	2018		The Magic Mountain	Mann, Thomas	1) core list		221	German	1900s		Q212898	Q37030	794055	1598485	40	117
359	2006	2008	2010	2012	2018		The Green Hat	Arlen, Michael	1) core list		1269	Bulgarian	1900s		Q123358176	Q115683	1918	18943	1	15
360	2006						Billy Budd, Foretopman	Melville, Herman	2) Deleted 2008		1249	American	1900s		Q863037	Q4985	165415	930703	15	89
361		2008	2010				The New World	Heruy Wolde Selassie	6) Deleted 2012		1317		1900s			Q3134389		6967	0	10
362	2006	2008	2010	2012	2018		The Professor’s House	Cather, Willa	1) core list		723	American	1900s		Q7758486	Q229480	9236	275974	2	45
363	2006	2008	2010	2012	2018		The Artamonov Business	Gorky, Maxim	1) core list		1094	Russian	1900s		Q5704466	Q12706	13517	1629813	4	112
364	2006	2008	2010	2012	2018		The Trial	Kafka, Franz	1) core list		239	Czech/Austrian	1900s		Q36097	Q905	1041687	5827580	58	166
365	2006	2008	2010	2012	2018		The Counterfeiters	Gide, André	1) core list		629	French	1900s		Q276722	Q47484	74422	583242	25	95
366	2006	2008	2010	2012	2018		The Great Gatsby	Fitzgerald, F. Scott	1) core list		313	American	1900s		Q214371	Q93354	3147414	2258146	68	82
367	2006	2008	2010	2012	2018		Mrs. Dalloway	Woolf, Virginia	1) core list		537	English	1900s		Q752584	Q40909	576436	3230998	36	109
368	2006						Manhattan Transfer	Dos Passos, John	2) Deleted 2008		923	American	1900s		Q1648409	Q312407	61811	204459	11	46
369		2008	2010	2012	2018		Chaka the Zulu	Mofolo, Thomas	3) Added 2008		1033		1900s		Q1120822	Q1452076	8520	8905	3	17
370	2006	2008	2010	2012	2018		The Making of Americans	Stein, Gertrude	1) core list		1192	American	1900s		Q7749704	Q188385	11667	824130	2	60
371	2006	2008	2010	2012	2018		The Murder of Roger Ackroyd	Christie, Agatha	1) core list		32	English	1900s		Q224078	Q35064	548191	5620277	41	139
372	2006	2008	2010	2012	2018		One, No One and One Hundred Thousand	Pirandello, Luigi	1) core list	Uno, nessuno, centomila	103	Italian	1900s		Q3021244	Q1403	165548	684180	5	100
373	2006						The Plumed Serpent	Lawrence, D.H.	2) Deleted 2008		1237	English	1900s		Q17017955	Q34970	15634	813303	3	76
374		2008	2010	2012	2018		Under Satan's Sun	Bernanos, Georges	3) Added 2008		1126		1900s		Q860909	Q315072	34546	195776	10	44
375	2006	2008	2010	2012	2018		The Good Soldier Švejk	Hašek, Jaroslav	1) core list		305	Czech	1900s		Q208622	Q2754	427689	322122	42	69
376		2008	2010	2012	2018		Alberta and Jacob	Sandel, Cora	3) Added 2008		671		1900s		Q95111336	Q287727	888	13282	1	17
377	2006	2008	2010	2012	2018		The Castle	Kafka, Franz	1) core list		304	Czech/Austiran	1900s		Q682733	Q905	408657	5827580	38	166
378	2006	2008	2010	2012	2018		Blindness	Green, Henry	1) core list		1244	English	1900s			Q1285562		27522	0	15
379	2006	2008	2010	2012	2018		The Sun Also Rises	Hemingway, Ernest	1) core list		481	American	1900s		Q501351	Q23434	621871	5732463	43	148
380	2006	2008	2010	2012	2018		Amerika	Kafka, Franz	1) core list		737	Czech/Austiran	1900s		Q48229	Q905	162919	5827580	30	166
381		2008	2010	2012	2018		The Case of Sergeant Grischa	Zweig, Arnold	3) Added 2008		1119		1900s		Q1197193	Q75868	5565	55099	4	40
